Architecture,Activation,Optimizer,Sequence_Length,Gradient_Clip,Accuracy,F1_Score,Avg_Epoch_Time(s),Total_Train_Time(s)
RNN,sigmoid,adam,25,No,0.6515,0.6828,1.42,30.16
RNN,sigmoid,adam,50,No,0.5483,0.602,1.39,28.71
RNN,sigmoid,adam,100,No,0.5264,0.5511,1.64,30.18
RNN,sigmoid,adam,25,Yes,0.6673,0.6756,1.58,29.6
RNN,sigmoid,adam,50,Yes,0.6972,0.7003,1.56,29.52
RNN,sigmoid,adam,100,Yes,0.6791,0.678,1.74,30.87
RNN,sigmoid,sgd,25,No,0.4982,0.5028,1.29,28.22
RNN,sigmoid,sgd,50,No,0.5038,0.4768,1.28,28.13
RNN,sigmoid,sgd,100,No,0.5006,0.5497,1.42,28.69
RNN,sigmoid,sgd,25,Yes,0.4988,0.5221,1.5,29.56
RNN,sigmoid,sgd,50,Yes,0.5031,0.5326,1.45,29.48
RNN,sigmoid,sgd,100,Yes,0.5078,0.5162,1.55,29.44
RNN,sigmoid,rmsprop,25,No,0.6562,0.6725,1.49,29.2
RNN,sigmoid,rmsprop,50,No,0.6462,0.6241,1.48,29.88
RNN,sigmoid,rmsprop,100,No,0.6366,0.6784,1.62,30.66
RNN,sigmoid,rmsprop,25,Yes,0.674,0.6667,1.5,29.26
RNN,sigmoid,rmsprop,50,Yes,0.6934,0.6876,1.63,30.7
RNN,sigmoid,rmsprop,100,Yes,0.691,0.6852,1.9,32.61
RNN,relu,adam,25,No,0.6576,0.6367,1.5,29.97
RNN,relu,adam,50,No,0.6075,0.6627,1.4,28.57
RNN,relu,adam,100,No,0.5217,0.6481,1.54,29.45
RNN,relu,adam,25,Yes,0.6771,0.6946,1.72,31.37
RNN,relu,adam,50,Yes,0.6816,0.6865,1.53,29.7
RNN,relu,adam,100,Yes,0.6247,0.5726,1.7,30.07
RNN,relu,sgd,25,No,0.5005,0.4845,1.29,28.16
RNN,relu,sgd,50,No,0.5052,0.4852,1.3,28.39
RNN,relu,sgd,100,No,0.4995,0.4932,1.48,29.36
